"Domain verification record set:"
"Record name","Record type","Record Value"
"_amazonses.handsoft.space","TXT","uHYqM+AfzGbX6rs1jBxLK3AhKr1HF5coCfU5Ma03Es4="

"Alternate domain verification record:"
"Record name","Record type","Record Value"
"handsoft.space","TXT","amazonses:uHYqM+AfzGbX6rs1jBxLK3AhKr1HF5coCfU5Ma03Es4="

"DKIM record set:"
"Record name","Record type","Record Value"
"raqtla6auckscjbewkjcnad6pw72lopx._domainkey.handsoft.space","CNAME","raqtla6auckscjbewkjcnad6pw72lopx.dkim.amazonses.com"
"bhxpjc445wq2h4svekihnpdak45eimho._domainkey.handsoft.space","CNAME","bhxpjc445wq2h4svekihnpdak45eimho.dkim.amazonses.com"
"p5f4syvejbnbqu4e35vvw6jkct5stjws._domainkey.handsoft.space","CNAME","p5f4syvejbnbqu4e35vvw6jkct5stjws.dkim.amazonses.com"
